Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ICDC.Cs535	GCA_015889385.1	GCA_015889385.1	SAMN12388779	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs358	GCA_015889405.1	GCA_015889405.1	SAMN12388706	PRJNA514245	2017	China: Beijing	patient	cerebrospinal fluid
Corynebacterium striatum	ICDC.Cs421	GCA_015889425.1	GCA_015889425.1	SAMN12388754	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs130	GCA_015889445.1	GCA_015889445.1	SAMN12388654	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs540	GCA_015889455.1	GCA_015889455.1	SAMN12388784	PRJNA514245	2017	"	China: Guangzhou"	patient	sputum
Corynebacterium striatum	ICDC.Cs533	GCA_015889485.1	GCA_015889485.1	SAMN12388777	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs419	GCA_015889505.1	GCA_015889505.1	SAMN12388752	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs420	GCA_015889525.1	GCA_015889525.1	SAMN12388753	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs544	GCA_015889535.1	GCA_015889535.1	SAMN12388786	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs280	GCA_015889565.1	GCA_015889565.1	SAMN12388684	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs418	GCA_015889575.1	GCA_015889575.1	SAMN12388751	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs415	GCA_015889605.1	GCA_015889605.1	SAMN12388748	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs030	GCA_015889625.1	GCA_015889625.1	SAMN12388625	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs279	GCA_015889645.1	GCA_015889645.1	SAMN12388683	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs414	GCA_015889655.1	GCA_015889655.1	SAMN12388747	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs422	GCA_015889685.1	GCA_015889685.1	SAMN12388755	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs416	GCA_015889705.1	GCA_015889705.1	SAMN12388749	PRJNA514245	2018	"	China: Tangshan"	patient	sputum
