Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ICDC.Cs181	GCA_015944815.1	GCA_015944815.1	SAMN10663094	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs491	GCA_015945195.1	GCA_015945195.1	SAMN10663173	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs194	GCA_015945255.1	GCA_015945255.1	SAMN10663100	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs484	GCA_015945275.1	GCA_015945275.1	SAMN10663170	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs474	GCA_015945295.1	GCA_015945295.1	SAMN10663165	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs297	GCA_015945355.1	GCA_015945355.1	SAMN10663133	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs159	GCA_015945475.1	GCA_015945475.1	SAMN10663084	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs162	GCA_015945535.1	GCA_015945535.1	SAMN10663086	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs178	GCA_015945575.1	GCA_015945575.1	SAMN10663092	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs163	GCA_015945595.1	GCA_015945595.1	SAMN10663087	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs206	GCA_015945635.1	GCA_015945635.1	SAMN10663103	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs160	GCA_015945675.1	GCA_015945675.1	SAMN10663085	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs492	GCA_015945695.1	GCA_015945695.1	SAMN10663174	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs208	GCA_015945715.1	GCA_015945715.1	SAMN10663104	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs214	GCA_015945735.1	GCA_015945735.1	SAMN10663106	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs179	GCA_015945755.1	GCA_015945755.1	SAMN10663093	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs222	GCA_015945775.1	GCA_015945775.1	SAMN10663110	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs227	GCA_015945785.1	GCA_015945785.1	SAMN10663111	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs219	GCA_015945795.1	GCA_015945795.1	SAMN10663109	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs212	GCA_015945805.1	GCA_015945805.1	SAMN10663105	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs217	GCA_015945815.1	GCA_015945815.1	SAMN10663108	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs236	GCA_015945875.1	GCA_015945875.1	SAMN10663113	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs165	GCA_015945895.1	GCA_015945895.1	SAMN10663088	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs231	GCA_015945915.1	GCA_015945915.1	SAMN10663112	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs173	GCA_015945935.1	GCA_015945935.1	SAMN10663089	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs260	GCA_015945955.1	GCA_015945955.1	SAMN10663123	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs258	GCA_015945985.1	GCA_015945985.1	SAMN10663122	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs252	GCA_015946005.1	GCA_015946005.1	SAMN10663118	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs241	GCA_015946025.1	GCA_015946025.1	SAMN10663115	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs254	GCA_015946045.1	GCA_015946045.1	SAMN10663120	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs253	GCA_015946065.1	GCA_015946065.1	SAMN10663119	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs237	GCA_015946085.1	GCA_015946085.1	SAMN10663114	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs251	GCA_015946105.1	GCA_015946105.1	SAMN10663117	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs245	GCA_015946145.1	GCA_015946145.1	SAMN10663116	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs255	GCA_015946165.1	GCA_015946165.1	SAMN10663121	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs177	GCA_015946265.1	GCA_015946265.1	SAMN10663091	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs174	GCA_015946325.1	GCA_015946325.1	SAMN10663090	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs296	GCA_015946445.1	GCA_015946445.1	SAMN10663132	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs268	GCA_015946465.1	GCA_015946465.1	SAMN10663126	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs273	GCA_015946485.1	GCA_015946485.1	SAMN10663129	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs433	GCA_015946505.1	GCA_015946505.1	SAMN10663148	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs314	GCA_015946525.1	GCA_015946525.1	SAMN10663142	PRJNA514245	2017	China: Beijing	Homo sapiens	urine
Corynebacterium striatum	ICDC.Cs437	GCA_015946545.1	GCA_015946545.1	SAMN10663151	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs307	GCA_015946565.1	GCA_015946565.1	SAMN10663137	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs302	GCA_015946585.1	GCA_015946585.1	SAMN10663136	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs299	GCA_015946595.1	GCA_015946595.1	SAMN10663134	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs427	GCA_015946625.1	GCA_015946625.1	SAMN10663145	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs272	GCA_015946645.1	GCA_015946645.1	SAMN10663128	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs423	GCA_015946665.1	GCA_015946665.1	SAMN10663143	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs431	GCA_015946685.1	GCA_015946685.1	SAMN10663147	PRJNA514245	2018	China: Beijing	Homo sapiens	urine
Corynebacterium striatum	ICDC.Cs442	GCA_015946705.1	GCA_015946705.1	SAMN10663154	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs429	GCA_015946725.1	GCA_015946725.1	SAMN10663146	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs301	GCA_015946745.1	GCA_015946745.1	SAMN10663135	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs441	GCA_015946765.1	GCA_015946765.1	SAMN10663153	PRJNA514245	2018	China: Beijing	Homo sapiens	blood
Corynebacterium striatum	ICDC.Cs274	GCA_015946775.1	GCA_015946775.1	SAMN10663130	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs466	GCA_015946805.1	GCA_015946805.1	SAMN10663161	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs449	GCA_015946825.1	GCA_015946825.1	SAMN10663155	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs263	GCA_015946845.1	GCA_015946845.1	SAMN10663124	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs453	GCA_015946865.1	GCA_015946865.1	SAMN10663156	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs465	GCA_015946885.1	GCA_015946885.1	SAMN10663160	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs265	GCA_015946905.1	GCA_015946905.1	SAMN10663125	PRJNA514245	2017	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs460	GCA_015946925.1	GCA_015946925.1	SAMN10663159	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs269	GCA_015946945.1	GCA_015946945.1	SAMN10663127	PRJNA514245	2017	China: Guangzhou	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs312	GCA_015946965.1	GCA_015946965.1	SAMN10663141	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs308	GCA_015946985.1	GCA_015946985.1	SAMN10663138	PRJNA514245	2018	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs436	GCA_015947005.1	GCA_015947005.1	SAMN10663150	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs311	GCA_015947025.1	GCA_015947025.1	SAMN10663140	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs309	GCA_015947045.1	GCA_015947045.1	SAMN10663139	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs425	GCA_015947065.1	GCA_015947065.1	SAMN10663144	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs467	GCA_015947085.1	GCA_015947085.1	SAMN10663162	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs459	GCA_015947105.1	GCA_015947105.1	SAMN10663158	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs469	GCA_015947125.1	GCA_015947125.1	SAMN10663163	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs456	GCA_015947945.1	GCA_015947945.1	SAMN10663157	PRJNA514245	2018	China: Beijing	Homo sapiens	sputum
Corynebacterium striatum		GCA_016084495.1	GCA_016084495.1	SAMN06680407	PRJNA278886	2017	USA:Boston	Homo sapiens	bronchial alveolar lavage
Corynebacterium striatum		GCA_016084535.1	GCA_016084535.1	SAMN06015659	PRJNA278886	2016	USA:Boston	Homo sapiens	sputum
Corynebacterium striatum		GCA_016084555.1	GCA_016084555.1	SAMN06129830	PRJNA278886	2016	USA:Boston	Homo sapiens	Bronchial alveolar lavage
Corynebacterium striatum		GCA_016085355.1	GCA_016085355.1	SAMN06015660	PRJNA278886	2016	USA:Boston	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs038	GCA_016088575.1	GCA_016088575.1	SAMN05178546	PRJNA278886	2016	USA:Boston	Homo sapiens	sputum
Corynebacterium striatum	ICDC.Cs075	GCA_016109815.1	GCA_016109815.1	SAMN12388640	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	FDAARGOS_1054	GCA_016403285.1	GCA_016403285.1	SAMN16357223	PRJNA231221	unknown	Germany: Braunschweig	missing	missing
Corynebacterium striatum	FDAARGOS_1115	GCA_016728105.1	GCA_016728105.1	SAMN16357284	PRJNA231221	unknown	Germany: Braunschweig	missing	missing
Corynebacterium striatum	FDAARGOS_1116	GCA_016728205.1	GCA_016728205.1	SAMN16357285	PRJNA231221	unknown	Germany: Braunschweig	missing	missing
Corynebacterium striatum	FDAARGOS_1197	GCA_016889445.1	GCA_016889445.1	SAMN16357339	PRJNA231221	unknown	Germany: Braunschweig	missing	missing
Corynebacterium striatum	Corynebacterium striatum	GCA_018144015.1	GCA_018144015.1	SAMEA6658274	PRJNA514245	2018	Denmark	Homo sapiens	sputum
Corynebacterium striatum	Corynebacterium striatum	GCA_018164715.1	GCA_018164715.1	SAMEA6656686	PRJNA514245	2018	Denmark	Homo sapiens	Swab toe
Corynebacterium striatum	Corynebacterium striatum	GCA_018178195.1	GCA_018178195.1	SAMEA6656735	PRJNA514245	2018	Denmark	Homo sapiens	Swab wound
Corynebacterium striatum	NCTC9755	GCA_900447625.1	GCA_900447625.1	SAMEA104016175	PRJEB6403	1900/1952	missing	not available	not available: to be reported later
Corynebacterium striatum	NCTC764	GCA_900447675.1	GCA_900447675.1	SAMEA4521472	PRJEB6403	1900/1920	missing	not available	not available: to be reported later
Corynebacterium striatum	3012STDY7069329	GCA_900683645.1	GCA_900683645.1	SAMEA104224803	PRJEB6403	1800/2014	missing	not available	not available
